voter,rawScore
0xc22686df9cf7600636aeed3221e5fb320a703c03,15.02
0xef4aafe73ab0614c2c63a993f4a604bcf8696632,21.9
0xfa23b5da44c4ed29257eec4eef1e5cc53a8a6fee,38.47
0x1c893243ba33e8fbdbb8b7ce6cedccfbe6ae40e0,15.75
0xef91ecd0142ae4c5163b2cf060c0563d49188c82,16.46
0x9109358674f1c9a1a945a1d9880fb7ef1ddc43a3,40.38
0x9347ea27d20da04fa3af9444ebd086c73ff6553b,38.7
0xfb40932271fc9db9dbf048e80697e2da4aa57250,47.12
0x34e2cb7513a50b19f450a067ed5230a86c13a2e9,37.01
0xc5eb31492f3d65ec133eb954895a88209f692c77,
0xb2a5741a365c710267ec91a7da7eabedee1ac552,41.25
0x450a0faf01bfc76a940ef749feda0e5f88f72bea,25.93
0x15b8d56eab6f835627cbf7c56e2935c25c8c9a7f,19.63
0x945836b8345764cbde363b9209d3e0338cb83ffe,19.7
0xe4d9f174e9b9f987836030ca0b244a5b4f615869,44.23
0xced1a3bd6f56de3dfe22757cb4483720052f10e6,25.23
0xdd31db93082a3a71b98d37ba26230f8734bd63c3,33.89
0xb0ade422be8306fc0f55cb5761db23d2cb446c67,24.4
0x232f9b36fb579a71034dc21a467c921eec01faa9,37.23
0x333366cc49cd631c32d576c8ab6f7a894c25a514,25.24
0xbd125f7c40e252a090871b865aca471f5cb8ee01,15.75
0x72065ee8fa253e1706a8bfde7e973ff7e187ce77,27.03
0x421cc7b6224accb6c12280e3b697c65d9d60ad70,32.22
0xa3568ff0b3fef240aacff0b19ef75c0aa71c0ed9,21.47
0xb248140d89ee4a1feabdd28f2f3ef23e2bd4b469,33.57
0x6d2c1d13a878cccaad060d74e4309f0f31bb31d7,19.28
0x1a8028927383a0665b62b4aa6eefd5dd66cb5a38,33.36
0xf2167ee45596b91c96ca716be6a6f829de0788d5,20.02
0xb00a5f4c8c9faaa37d0e6943719157c0af6575ed,23.57
0xb9635e08bb5d4d99e5bb8ff2e295b37458bb2139,43.68
0xc29726e55443683b9c6112b51b9f9e7c103017ed,15.84
0x77bd5f4f5a0b2b8c5fddac85ef4eedb657dbf1d6,27.01
0x32e523307d04cb6d7d62dac8ed65549350535bcc,33.16
0x6937f46d1be884869ed1552ca1db249c639c5d38,19.71
0xaafb55532b94cf47b5ffabddd5aeae3e5197a521,45.14
0x501917fa003f8a79564e976517839efe448005d0,16.27
0xf90f56afa1dae825db57fc305b2f8f1ccf337531,28.15
0x001461c431645ae6f6279054b6572bcbf66d2a91,31.69
0x2bc68270d6c67cb21cf3e176afe97e378492a023,20.65
0x61f18ad12f54dba139dd46fb4762a8cea2013c97,23.35
0x0691eb50c11be7ae40bd5143595198e33b176db3,21.4
0x546911aa23511b9b023d4cfa2d97b82f4d423a71,25.23
0xa227b5ef06410639d4985d6be693352b71b8a165,32.11
0xe33ffabf893d7832bd186404408dcb9484e50bfe,18.14
0xa6bc2df054867e18999c63d990b1181b688e441c,28.36
0xb30fe8d3467b921d76fc1a2635cbd9317e10596e,18.35
0xf54eeb92ab2d295039e3970c5a0365e46a9dbeec,22.53
0x18d0dbc5bbba31782299ce4b83cfe4d6d150f13a,23.15
0x9b5809e00a1728b199efa21cdca9864fc5e6f85b,15.74
0x646026e9a53c127013a232851f07782632367a42,20.02
0xdca7678cce95f14befa72fe5a70a5025b1c7160e,39.31
0xcd50efdaceda78047ae47fb3a36b2f3b16685d5a,28.68
0xb156c425f325d750968702d4bd4226573edc3aed,16.05
0x1d6950d9df100d7a848786465bf98b255a78fd70,25.97
0x3a497a2a8b35b934bf271938502ca24e444e689e,28.26
0xe79a8f2cf63a353e687d06a9d540cb9442c10b91,15.43
0xe1ab2ce0a3ad3033d9dbe8d11503016348989561,18.06
0x4195a0d9150af7aeef6492cb081979a8c6826f94,15.02
0xd575194c20fe5ef4290c54753f31f8f2b2560a1b,33.47
0x8c40c8cc47d07bcb957ca503c8a5825b781b013e,18.66
0x80039dc3d5bb48ec4bd822c4e8828574fdcc51a6,
0x168fc6735f2d16955ceefe3c326b58f2b709ad4f,13.34
0xb3a880d667fb664a7e4929f83002b4bad0321653,46.28
0xe01bb29101100c3e7174ea0fec1249e42827def5,17.54
0x47def2243ddf45f18d68799053d9536cd892b44a,15.54
0xd55db41376953ee548a440e2bea2eab217631218,35.24
0xaf88097460d0ba2a99c04deb30e05ff21e0dd246,42.33
